Siruta,Localitate,Categorie dominanta
41113,Harseni,Barbati_65_
41177,Hoghiz,Barbati_45-64
41248,Homorod,Barbati_45-64
41284,Jibert,Barbati_45-64
41346,Lisa,Barbati_45-64
41382,Maierus,Barbati_45-64
41417,Mandra,Barbati_45-64
41471,Moieciu,Barbati_45-64
41541,Ormenis,Barbati_45-64
41578,Parau,Barbati_45-64
41621,Poiana Marului,Barbati_45-64
41667,Prejmer,Femei_45-64
41701,Racos,Barbati_45-64
41738,Recea,Barbati_45-64
41818,Sercaia,Barbati_45-64
41854,Sinca,Barbati_45-64
41925,Sanpetru,Barbati_45-64
41943,Soars,Femei_45-64
42003,Tarlungeni,Barbati_45-64
42058,Teliu,Femei_45-64
42076,Ticusu,Barbati_45-64
42101,Ucea,Barbati_45-64
42156,Ungra,Barbati_45-64
42183,Vama Buzaului,Barbati_45-64
42236,Vistea,Barbati_45-64
42307,Voila,Barbati_45-64
42398,Vulcan,Barbati_45-64
42449,Sinca Noua,Barbati_45-64
42456,Crizbav,Femei_45-64
42464,Sambata De Sus,Barbati_45-64
42472,Holbav,Barbati_45-64
42480,Dragus,Barbati_45-64
42498,Augustin,Barbati_45-64
42682,Municipiul Braila,Femei_45-64
42708,Chiscani,Barbati_45-64
42753,Oras Faurei,Barbati_45-64
42771,Surdila-Greci,Barbati_45-64
42824,Baraganul,Barbati_45-64
42842,Bertestii De Jos,Barbati_45-64
42913,Bordei Verde,Barbati_45-64
42968,Ciocile,Barbati_45-64
43019,Ciresu,Barbati_45-64
43073,Dudesti,Barbati_45-64
43117,Frecatei,Barbati_45-64
43180,Galbenu,Barbati_45-64
43242,Gemenele,Barbati_45-64
43279,Gradistea,Barbati_45-64
43313,Gropeni,Barbati_45-64
43331,Oras Ianca,Barbati_45-64
43411,Oras Insuratei,Barbati_45-64
43466,Jirlau,Barbati_45-64
43493,Marasu,Barbati_45-64
43563,Maxineni,Barbati_45-64
43625,Mircea Voda,Barbati_45-64
43652,Movila Miresii,Barbati_45-64
43698,Racovita,Barbati_45-64
43732,Ramnicelu,Barbati_45-64
43787,Romanu,Barbati_45-64
43812,Rosiori,Barbati_45-64
43867,Salcia Tudor,Barbati_45-64
43929,Scortaru Nou,Barbati_45-64
43992,Silistea,Barbati_45-64
44060,Stancuta,Barbati_45-64
44113,Surdila-Gaiseanca,Barbati_45-64
44140,Sutesti,Barbati_45-64
44177,Tichilesti,Barbati_45-64
44202,Traian,Barbati_45-64
44257,Tudor Vladimirescu,Barbati_45-64
44300,Tufesti,Barbati_45-64
44328,Ulmu,Barbati_45-64
44355,Unirea,Barbati_45-64
44391,Vadeni,Barbati_45-64
44435,Victoria,Barbati_45-64
44462,Visani,Barbati_45-64
44505,Viziru,Barbati_45-64
44532,Zavoaia,Barbati_45-64
44560,Cazasu,Barbati_45-64
44818,Municipiul Buzau,Femei_45-64
44845,Municipiul Ramnicu Sarat,Femei_45-64
44863,Amaru,Barbati_45-64
44934,Balta Alba,Barbati_45-64
44989,Balaceanu,Barbati_45-64
45003,Beceni,Femei_45-64
45101,Berca,Barbati_45-64
45245,Bisoca,Barbati_45-64
45334,Blajani,Femei_65_
45361,Boldu,Barbati_45-64
45389,Bozioru,Barbati_45-64
45496,Bradeanu,Barbati_45-64
45539,Braesti,Barbati_45-64
45619,Breaza,Barbati_45-64
45673,Buda,Barbati_45-64
45753,Calvini,Barbati_45-64
45815,C.a. Rosetti,Barbati_45-64
45888,Canesti,Femei_65_
45959,Catina,Barbati_45-64
46019,Cernatesti,Barbati_45-64
46108,Chiliile,Femei_65_
46180,Chiojdu,Barbati_45-64
46251,Cilibia,Barbati_45-64
46313,Cislau,Barbati_45-64
46377,Cochirleanca,Barbati_45-64
46439,Colti,Barbati_45-64
46484,Costesti,Barbati_45-64
46554,Cozieni,Barbati_45-64
46769,Galbinasi,Barbati_45-64
46803,Gheraseni,Barbati_45-64
46830,Ghergheasa,Barbati_45-64
46867,Glodeanu Sarat,Barbati_45-64
46910,Glodeanu-Silistea,Barbati_45-64
47006,Grebanu,Barbati_45-64
47079,Gura Teghii,Barbati_45-64
47159,Largu,Barbati_45-64
47186,Lopatari,Barbati_45-64
47300,Luciu,Barbati_45-64
47337,Magura,Barbati_45-64
47373,Maracineni,Barbati_45-64
47417,Margaritesti,Barbati_45-64
47453,Merei,Barbati_45-64
47578,Mihailesti,Barbati_45-64
47630,Manzalesti,Barbati_45-64
47774,Movila Banului,Barbati_45-64
47818,Murgesti,Femei_65_
47854,Naeni,Barbati_45-64
47916,Oras Nehoiu,Barbati_45-64
48021,Odaile,Barbati_45-64
48138,Padina,Barbati_45-64
48165,Pardosi,Barbati_65_
48227,Panatau,Barbati_45-64
48325,Oras Patarlagele,Barbati_45-64
48487,Pietroasele,Barbati_45-64
48557,Parscov,Barbati_45-64
48682,Podgoria,Barbati_45-64
48744,Oras Pogoanele,Barbati_45-64
48771,Posta Calnau,Barbati_45-64
48842,Puiesti,Barbati_45-64
48922,Racoviteni,Barbati_45-64
48968,Ramnicelu,Barbati_45-64
49019,Robeasca,Femei_65_
49046,Rusetu,Barbati_45-64
49073,Sageata,Barbati_45-64
49153,Sahateni,Barbati_45-64
49206,Sapoca,Barbati_45-64
