Siruta,Localitate,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare
50022,Valea Ramnicului,1227732.0,0.0,0.0,0.0,0.0,254975.0
148328,Dragoiesti,0.0,0.0,0.0,751752.0,0.0,0.0
140146,Balan,1171883.0,0.0,0.0,4212390.0,0.0,603736.0
90994,Romos,3497484.0,0.0,0.0,5428925.0,0.0,80390.0
156534,Criciova,0.0,0.0,0.0,0.0,0.0,0.0
115575,Bagaciu,0.0,594979.0,0.0,0.0,0.0,0.0
74616,Vela,653364.0,0.0,0.0,0.0,0.0,0.0
33658,Matei,0.0,0.0,0.0,0.0,0.0,0.0
41854,Sinca,0.0,1500.0,0.0,300.0,0.0,0.0
66438,Buciumeni,0.0,0.0,0.0,0.0,0.0,0.0
99209,Strunga,2136684.0,0.0,0.0,0.0,1.159787E7,63170.0
107403,Bogdan Voda,0.0,0.0,0.0,0.0,0.0,0.0
82831,Vladimir,0.0,0.0,0.0,0.0,0.0,0.0
123790,Poiana Teiului,155.0,0.0,0.0,1283142.0,20857.0,0.0
164749,Lunca Banului,1.2365843E7,0.0,0.0,0.0,0.0,114001.0
25488,Solont,2776605.0,0.0,0.0,0.0,0.0,0.0
115600,Bala,0.0,0.0,0.0,0.0,0.0,0.0
172947,Scundu,0.0,0.0,0.0,2170.0,0.0,0.0
58259,Jucu,0.0,75444.0,0.0,1242809.0,0.0,0.0
50068,Valea Salciei,0.0,0.0,0.0,0.0,0.0,0.0
131988,Alunis,0.0,0.0,0.0,0.0,0.0,0.0
148382,Draguseni,0.0,0.0,0.0,0.0,0.0,0.0
107430,Boiu Mare,0.0,0.0,0.0,0.0,0.0,0.0
132011,Apostolache,0.0,0.0,0.0,1666216.0,0.0,0.0
66474,Bucsani,1746086.0,0.0,0.0,393440.0,0.0,0.0
91054,Sarmizegetusa,0.0,0.0,0.0,0.0,0.0,0.0
156589,Curtea,0.0,0.0,0.0,0.0,0.0,0.0
25521,Stanisesti,1243473.0,0.0,0.0,0.0,0.0,0.0
140208,Banisor,0.0,0.0,0.0,0.0,0.0,0.0
115637,Balauseri,184868.0,0.0,0.0,0.0,332831.0,0.0
17334,Mioarele,0.0,0.0,0.0,0.0,0.0,0.0
50102,Vernesti,217454.0,10486.0,0.0,0.0,0.0,3539378.0
33729,Magura Ilvei,0.0,0.0,0.0,0.0,0.0,0.0
172992,Sinesti,0.0,0.0,0.0,0.0,0.0,0.0
41925,Sanpetru,0.0,0.0,0.0,0.0,0.0,36192.0
58311,Luna,5600.0,0.0,0.0,548729.0,0.0,0.0
148426,Dumbraveni,1797578.0,0.0,0.0,1.2804371E7,0.0,0.0
156623,Darova,0.0,0.0,0.0,0.0,55747.0,0.0
82895,Oras Rovinari,0.0,0.0,0.0,0.0,0.0,0.0
74705,Verbita,0.0,0.0,0.0,0.0,0.0,0.0
140244,Benesat,0.0,0.0,0.0,0.0,0.0,26795.0
41943,Soars,0.0,0.0,0.0,32456.0,165592.0,0.0
99290,Scheia,1854287.0,0.0,0.0,0.0,0.0,0.0
107485,Botiza,0.0,0.0,0.0,0.0,0.0,0.0
66526,Candesti,0.0,0.0,0.0,0.0,0.0,0.0
164829,Malusteni,0.0,0.0,0.0,0.0,0.0,0.0
33765,Mariselu,0.0,0.0,0.0,0.0,0.0,0.0
148453,Fantanele,0.0,0.0,0.0,0.0,299547.0,0.0
132075,Aricestii Rahtivani,9321569.0,64440.0,15800.0,0.0,0.0,0.0
74732,Vartop,8998781.0,0.0,0.0,0.0,0.0,0.0
91116,Salasu De Sus,0.0,0.0,0.0,0.0,0.0,30000.0
58357,Maguri-Racatau,0.0,0.0,0.0,0.0,0.0,0.0
17398,Mirosi,838659.0,0.0,0.0,0.0,0.0,0.0
1017,Municipiul Alba Iulia,1.2616608E7,0.0,0.0,7.389542E7,173148.0,1.1860829E7
140280,Bobota,2954960.0,0.0,0.0,9000.0,0.0,0.0
115708,Beica De Jos,0.0,0.0,0.0,349624.0,637514.0,0.0
107519,Budesti,0.0,0.0,0.0,0.0,0.0,0.0
74750,Varvoru De Jos,721099.0,0.0,0.0,0.0,0.0,0.0
156669,Denta,9855762.0,0.0,0.0,0.0,0.0,400650.0
173061,Slatioara,11975.0,0.0,0.0,0.0,0.0,0.0
123914,Raucesti,67758.0,0.0,0.0,7936687.0,0.0,186061.0
17423,Moraresti,0.0,0.0,0.0,0.0,0.0,0.0
42003,Tarlungeni,0.0,0.0,0.0,9929816.0,112514.0,0.0
66580,Cobia,0.0,0.0,0.0,0.0,0.0,0.0
58393,Manastireni,0.0,0.0,0.0,0.0,0.0,0.0
107546,Calinesti,0.0,0.0,0.0,16490.0,0.0,0.0
25629,Strugari,0.0,0.0,0.0,0.0,0.0,0.0
