Siruta,Localitate,CA_capita
116652,Ernei,300.9670016750419
51118,Oras Oravita,2092.2011077015195
100273,Bals,133.47808219178083
124849,Urecheni,65.85084337349397
141232,Garbou,0.0
108473,Poienile De Sub Munte,0.0
100282,Costesti,0.0
165817,Rosiesti,16839.57907617008
75711,Branistea,0.0
59327,Savadisla,19.157088122605366
92097,Vorta,0.0
67522,Glodeni,0.0
26564,Municipiul Oradea,443.13084586044425
174021,Vaideeni,10.738966900702106
108491,Remetea Chioarului,0.0
34770,Sieu-Odorhei,0.0
10195,Bocsig,497.26118963486454
124885,Valea Ursului,0.0
100308,Draguseni,0.0
26582,Sanmartin,9382.139541335306
42968,Ciocile,1826.6589353612167
100317,Fantanele,137.68690702087287
133090,Dumbrava,813.4870362092088
83936,Bilbor,0.0
100326,Harmanesti,4.122195512820513
18411,Recea,0.0
100335,Rachiteni,490.58301831927884
157683,Masloc,2663.7524232633277
116723,Faragau,1400.1846950517836
75766,Brahasesti,14.657358336730534
100344,Roscani,1840.1622835150738
83963,Capalnita,0.0
149502,Moldova-Sulita,49.111807228915666
10239,Brazii,0.0
100353,Valea Lupului,859.1003556517705
141312,Halmasd,0.0
51207,Oras Otelu Rosu,13.4420638046475
174085,Valea Mare,8.944954128440367
108552,Remeti,0.0
165899,Solesti,342.0177221787855
67595,Gura Ocnitei,32.15577133479212
43019,Ciresu,4909.761010362694
100362,Ciohorani,431.85538005923
124938,Alexandru Cel Bun,0.27334437086092717
83981,Ciucsangeorgiu,12.886237072394591
92177,Zam,0.0
59416,Sic,0.0
26653,Santandrei,24170.753580160672
149539,Moldovita,163.56244060064626
34850,Sieut,252.60694077706526
59434,Sancraiu,916.9128498727736
75819,Buciumeni,290.6832614660917
157736,Manastiur,0.0
18475,Rociu,1867.0039936102237
51243,Armenis,0.0
133161,Filipestii De Padure,18.311165923536667
10293,Buteni,0.7924860581156442
108598,Repedea,0.0
116796,Fantanele,994.4298933816134
43073,Dudesti,2044.1178045515394
67648,Gura Sutii,123.34698795180722
141376,Hereclean,75.69388290889998
108614,Rona De Jos,0.0
26699,Oras Alesd,416.26007261135214
174156,Vladesti,0.0
2130,Albac,0.0
149584,Musenita,1413.7452431289641
34903,Sintereag,156.16249319542732
157781,Moravita,269.2702104097453
75864,Cavadinesti,550.372375328084
108632,Rona De Sus,0.0
125016,Vanatori-Neamt,127.28049060064191
165979,Stanilesti,4.9506991753316605
67675,Hulubesti,0.0
133214,Filipestii De Targ,117.61724096530196
18527,Rucar,0.0
51305,Bania,0.0
10346,Carand,226.6448275862069
59498,Sanmartin,30.921965317919074
43117,Frecatei,0.0
26742,Astileu,2.149959688255845
84086,Ciumani,0.0
18554,Salatrucu,0.0
108669,Rozavlea,0.0
116867,Galesti,1019.5961759082218
51332,Bautar,0.0
125061,Zanesti,4937.550708123067
10373,Cermei,330.4905109489051
141447,Hida,0.0
84102,Carta,1039.2986685858223
157834,Mosnita Noua,1298.924714019686
174218,Voicesti,68.36992385786802
75917,Certesti,1553.2060782681099
18581,Sapata,0.0
149655,Ostra,158.96568010075566
67737,I. L. Caragiale,66.90014684287812
108696,Ruscova,0.0
133278,Fantanele,0.0
100521,Municipiul Giurgiu,1225.145474278272
34985,Teaca,200.52354241033487
108712,Satulung,509.1922752572103
125098,Dochia,3760.4039890496674
166057,Stefan Cel Mare,791.8539229671898
43180,Galbenu,563.683612251342
174254,Voineasa,0.0
75953,Corod,3248.9437201497353
125105,Ruginoasa,621.5970772442589
149682,Panaci,585.9019180470793
10417,Chisindia,0.0
26804,Municipiul Beius,2.091138799337806
