Siruta,Localitate,CA_Totala
125374,Slatioara,628826.0
35269,Uriu,182759.0
43466,Jirlau,1185623.0
109005,Stramtura,0.0
10701,Dieci,58700.0
51662,Brebu Nou,0.0
68048,Matasaru,36140.0
149968,Preutesti,325795.0
141786,Letca,161241.0
76255,Fartanesti,2408837.0
100834,Afumati,9759199.0
43493,Marasu,0.0
158181,Pischia,18200.0
59880,Unguras,0.0
125418,Oras Bals,814709.0
84460,Galautas,0.0
133615,Gornet-Cricov,3450157.0
35312,Urmenis,30311.0
109041,Suciu De Sus,0.0
51699,Buchin,0.0
92658,Municipiul Slobozia,299433690.0
100852,Alexeni,121770.0
